Fuente de Financiación,Situacion de Fondos,Recurso Presupuestal,Codigo del Sector,Nombre del Sector,Codigo Entidad,Nombre Entidad,Apropiación Vigente,Compromisos,Obligaciones,Pagos
Nación,CSF,FONDOS ESPECIALES,29,TRABAJO,36-01-01,MINISTERIO DEL TRABAJO - GESTION GENERAL,1155490000000.0,624915000000.0,624087000000.0,624087000000.0
Nación,CSF,FONDOS ESPECIALES,29,TRABAJO,36-01-07,MINISTERIO DEL TRABAJO - SUPERINTENDENCIA DE SUBSIDIO FAMILIAR,69125142000.0,45737281717.0,33405341738.0,33400468131.0
Nación,CSF,FONDOS ESPECIALES,36,IGUALDAD Y EQUIDAD,46-02-00,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),175657000000.0,143508000000.0,93928478650.0,93928478650.0
Nación,CSF,FONDOS ESPECIALES,4,CULTURA,33-01-01,"MINISTERIO DE LAS CULTURAS, LAS ARTES Y LOS SABERES - GESTION GENERAL",6027062226.0,396228778.0,395695428.0,395695428.0
Nación,CSF,FONDOS ESPECIALES,5,SALUD Y PROTECCION SOCIAL,19-01-06,MINISTERIO  DE SALUD Y PROTECCIÓN SOCIAL - UNIDAD ADMINISTRATIVA ESPECIAL FONDO NACIONAL DE ESTUPEFACIENTES,33195792000.0,29675504739.0,8551336732.0,8402654577.0
Nación,CSF,FONDOS ESPECIALES,7,MINAS Y ENERGIA,21-01-01,MINISTERIO DE MINAS Y ENERGIA - GESTION GENERAL,568173000000.0,267180000000.0,147945000000.0,147941000000.0
Nación,CSF,FONDOS ESPECIALES,9,TRANSPORTE,24-02-00,INSTITUTO NACIONAL DE VIAS,352808000000.0,315924000000.0,119677000000.0,119650000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,10,PLANEACION,3/1/2001,DEPARTAMENTO NACIONAL DE PLANEACION - GESTION GENERAL,229565000000.0,119011000000.0,60990483343.0,58687526881.0
Nación,CSF,OTROS RECURSOS DEL TESORO,10,PLANEACION,3/3/2000,UNIDAD ADMINISTRATIVA ESPECIAL - AGENCIA NACIONAL DE CONTRATACION PUBLICA - COLOMBIA COMPRA EFICIENTE,67545904374.0,49374608565.0,32537367864.0,32537367864.0
Nación,CSF,OTROS RECURSOS DEL TESORO,11,INFORMACION ESTADISTICA,4/3/2000,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI - IGAC,761431000000.0,390641000000.0,129048000000.0,128220000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,13,HACIENDA,13-01-01,MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO - GESTIÓN GENERAL,18545100000000.0,8955940000000.0,8094690000000.0,8094690000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,13,HACIENDA,13-15-00,FONDO ADAPTACIÓN,6348000000.0,2471231182.0,56256826.0,56256826.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-01-01,MINISTERIO DE DEFENSA NACIONAL - GESTIÓN GENERAL,46571554209.0,22285771378.0,15202011612.0,15202011612.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-01-02,MINISTERIO DE DEFENSA NACIONAL - COMANDO GENERAL,46362772541.0,37463363941.0,4321810753.0,4321810753.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-01-03,MINISTERIO DE DEFENSA NACIONAL - EJÉRCITO,394749000000.0,179411000000.0,30389052692.0,30350252692.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-01-04,MINISTERIO DE DEFENSA NACIONAL - ARMADA,299352000000.0,246038000000.0,101309000000.0,101309000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-01-05,MINISTERIO DE DEFENSA NACIONAL - FUERZA AÉREA,797502000000.0,612390000000.0,406669000000.0,406669000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-01-11,MINISTERIO DE DEFENSA NACIONAL - SALUD,56982199798.0,33570999780.0,5523785898.0,5277193477.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-07-00,INSTITUTO CASAS FISCALES DEL EJÉRCITO,12160000000.0,11511396162.0,4145701145.0,4145701145.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-10-00,CLUB MILITAR DE OFICIALES,5000000000.0,3080403870.0,0.0,0.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-19-00,HOSPITAL MILITAR,5000000000.0,4563464753.0,1228800000.0,1030000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,15-21-00,UNIDAD ADMINISTRATIVA ESPECIAL DE LA JUSTICIA PENAL MILITAR Y POLICIAL,15000000000.0,4347289584.0,519624554.0,519624554.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,16-01-01,POLICÍA NACIONAL - GESTIÓN GENERAL,388556000000.0,165020000000.0,21028256993.0,19169217675.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,16-01-02,POLICÍA NACIONAL - SALUD,41901434651.0,17166418941.0,2750547637.0,2750547637.0
Nación,CSF,OTROS RECURSOS DEL TESORO,14,DEFENSA Y POLICIA,16-01-03,POLICIA NACIONAL - EDUCACION,25642716254.0,3500000000.0,657428226.0,657428226.0
Nación,CSF,OTROS RECURSOS DEL TESORO,15,INTERIOR,37-01-01,MINISTERIO DEL INTERIOR - GESTION GENERAL,20000000000.0,0.0,0.0,0.0
Nación,CSF,OTROS RECURSOS DEL TESORO,15,INTERIOR,37-01-02,DIRECCIÓN DE LA AUTORIDAD NACIONAL DE CONSULTA PREVIA,17094000000.0,4316539345.0,1078390903.0,1077150903.0
Nación,CSF,OTROS RECURSOS DEL TESORO,15,INTERIOR,37-04-00,CORPORACION NACIONAL PARA LA RECONSTRUCCION DE LA CUENCA DEL RIO PAEZ Y ZONAS ALEDAÑAS NASA KI WE,10754247508.0,8897743880.0,6223820322.0,6223820322.0
Nación,CSF,OTROS RECURSOS DEL TESORO,15,INTERIOR,37-08-00,UNIDAD NACIONAL DE PROTECCIÓN - UNP,4403313940.0,0.0,0.0,0.0
Nación,CSF,OTROS RECURSOS DEL TESORO,16,"COMERCIO, INDUSTRIA Y TURISMO",35-05-00,INSTITUTO NACIONAL DE METROLOGIA - INM,16560080048.0,12693579739.0,6299768996.0,6299584453.0
Nación,CSF,OTROS RECURSOS DEL TESORO,17,ORGANISMOS DE CONTROL,25-01-01,PROCURADURIA GENERAL DE LA NACION - GESTION GENERAL,136813000000.0,59953025373.0,11419134933.0,10379177972.0
Nación,CSF,OTROS RECURSOS DEL TESORO,17,ORGANISMOS DE CONTROL,25-02-00,DEFENSORIA DEL PUEBLO,4501000000.0,0.0,0.0,0.0
Nación,CSF,OTROS RECURSOS DEL TESORO,17,ORGANISMOS DE CONTROL,26-01-01,CONTRALORIA GENERAL DE LA REPUBLICA - GESTION GENERAL,86510552282.0,61659120517.0,44560719687.0,44560719687.0
Nación,CSF,OTROS RECURSOS DEL TESORO,18,EMPLEO PUBLICO,5/1/2001,DEPARTAMENTO DE LA FUNCIÓN PÚBLICA - GESTIÓN GENERAL,2000000000.0,1505990433.0,447508327.0,447508327.0
Nación,CSF,OTROS RECURSOS DEL TESORO,19,CONGRESO DE LA REPUBLICA,1/1/2001,SENADO DE LA REPUBLICA,65000000000.0,30072500821.0,14603344217.0,14603344217.0
Nación,CSF,OTROS RECURSOS DEL TESORO,19,CONGRESO DE LA REPUBLICA,1/1/2002,CAMARA DE REPRESENTANTES,163000000000.0,151313000000.0,98331090183.0,94578064508.0
Nación,CSF,OTROS RECURSOS DEL TESORO,20,PRESIDENCIA DE LA REPUBLICA,2/1/2001,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,73464039869.0,35586650952.0,11798495756.0,11756841163.0
Nación,CSF,OTROS RECURSOS DEL TESORO,20,PRESIDENCIA DE LA REPUBLICA,2/12/2000,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION - ARN,2116977856.0,2116977856.0,1270186713.0,1270186713.0
Nación,CSF,OTROS RECURSOS DEL TESORO,20,PRESIDENCIA DE LA REPUBLICA,2/14/2001,AGENCIA DE RENOVACION DEL TERRITORIO ART - GESTION GENERAL,74472264014.0,51322193592.0,15589879283.0,15589879283.0
Nación,CSF,OTROS RECURSOS DEL TESORO,21,SERVICIO DE LA DEUDA PUBLICA NACIONAL,14-01-00,SERVICIO DE LA DEUDA PÚBLICA NACIONAL,61258100000000.0,39417100000000.0,39402600000000.0,38931700000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,22,REGISTRADURIA,28-01-01,REGISTRADURIA NACIONAL DEL ESTADO CIVIL - GESTION GENERAL,174200000000.0,144623000000.0,76960889677.0,76960889677.0
Nación,CSF,OTROS RECURSOS DEL TESORO,22,REGISTRADURIA,28-02-00,FONDO ROTATORIO DE LA REGISTRADURIA,12011510572.0,5958506412.0,0.0,0.0
Nación,CSF,OTROS RECURSOS DEL TESORO,24,"CIENCIA, TECNOLOGÍA E INNOVACIÓN",39-01-01,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION - GESTION GENERAL",299724000000.0,261947000000.0,193295000000.0,193295000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,25,RAMA JUDICIAL,27-01-02,RAMA JUDICIAL - CONSEJO SUPERIOR DE LA JUDICATURA,20607048670.0,20607048670.0,0.0,0.0
Nación,CSF,OTROS RECURSOS DEL TESORO,26,FISCALIA,29-01-01,FISCALIA GENERAL DE LA NACION - GESTION GENERAL,1026064151.0,1003316082.0,629605115.0,628539308.0
Nación,CSF,OTROS RECURSOS DEL TESORO,26,FISCALIA,29-02-00,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,10030700000.0,8090730266.0,333972700.0,327012700.0
Nación,CSF,OTROS RECURSOS DEL TESORO,27,JUSTICIA Y DEL DERECHO,12/1/2001,MINISTERIO DE JUSTICIA Y DEL DERECHO - GESTION GENERAL,51826129935.0,34332091167.0,18684346071.0,18684346071.0
Nación,CSF,OTROS RECURSOS DEL TESORO,27,JUSTICIA Y DEL DERECHO,12/8/2000,INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC,4000000000.0,3753612348.0,1168817719.0,1168817719.0
Nación,CSF,OTROS RECURSOS DEL TESORO,27,JUSTICIA Y DEL DERECHO,12/10/2000,UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO,2176706795.0,1449729204.0,18998271.0,18998271.0
Nación,CSF,OTROS RECURSOS DEL TESORO,29,TRABAJO,36-13-00,UNIDAD ADMINISTRATIVA ESPECIAL DEL SERVICIO PÚBLICO DE EMPLEO,17000000000.0,16463186502.0,8552291239.0,8552291239.0
Nación,CSF,OTROS RECURSOS DEL TESORO,3,AMBIENTE Y DESARROLLO SOSTENIBLE,32-01-01,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE - GESTION GENERAL,611628000000.0,464184000000.0,143963000000.0,143240000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,3,AMBIENTE Y DESARROLLO SOSTENIBLE,32-01-02,PARQUES NACIONALES NATURALES DE COLOMBIA,90010744264.0,66906474100.0,40882342375.0,40752707062.0
Nación,CSF,OTROS RECURSOS DEL TESORO,3,AMBIENTE Y DESARROLLO SOSTENIBLE,32-01-04,AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES ANLA,33653134329.0,33037278062.0,21677298931.0,21677298931.0
Nación,CSF,OTROS RECURSOS DEL TESORO,3,AMBIENTE Y DESARROLLO SOSTENIBLE,32-02-00,"INSTITUTO DE HIDROLOGIA, METEOROLOGIA Y ESTUDIOS AMBIENTALES - IDEAM",29225074635.0,23383412236.0,13612425696.0,13612425696.0
Nación,CSF,OTROS RECURSOS DEL TESORO,30,INCLUSION SOCIAL Y RECONCILIACION,41-01-01,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL - GESTION GENERAL,1465530000000.0,530666000000.0,67961052624.0,66903864105.0
Nación,CSF,OTROS RECURSOS DEL TESORO,30,INCLUSION SOCIAL Y RECONCILIACION,41-04-00,UNIDAD DE ATENCION Y REPARACION INTEGRAL A LAS VICTIMAS,16030243778.0,0.0,0.0,0.0
Nación,CSF,OTROS RECURSOS DEL TESORO,30,INCLUSION SOCIAL Y RECONCILIACION,41-05-00,CENTRO DE MEMORIA HISTORICA,38743301150.0,32427325483.0,16706322168.0,16697128626.0
Nación,CSF,OTROS RECURSOS DEL TESORO,32,DEPORTE Y RECREACION,43-01-01,MINISTERIO DEL DEPORTE - GESTION GENERAL,1242110000000.0,486711000000.0,200254000000.0,200254000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,33,"VIVIENDA, CIUDAD Y TERRITORIO",40-01-01,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO - GESTION GENERAL",1125480000000.0,557339000000.0,14592132533.0,14592132533.0
Nación,CSF,OTROS RECURSOS DEL TESORO,33,"VIVIENDA, CIUDAD Y TERRITORIO",40-02-00,FONDO NACIONAL DE VIVIENDA - FONVIVIENDA,4313860000000.0,4062810000000.0,1035490000000.0,925077000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,35,"SISTEMA INTEGRAL DE VERDAD, JUSTICIA, REPARACIÓN Y NO REPETICIÓN",44-01-01,JURISDICCION ESPECIAL PARA LA PAZ - GESTION GENERAL,189518000000.0,143702000000.0,84981402378.0,84626841256.0
Nación,CSF,OTROS RECURSOS DEL TESORO,35,"SISTEMA INTEGRAL DE VERDAD, JUSTICIA, REPARACIÓN Y NO REPETICIÓN",44-03-00,UNIDAD DE BUSQUEDA DE PERSONAS DADAS POR DESAPARECIDAS EN EL CONTEXTO Y EN RAZON DEL CONFLICTO ARMADO (UBPD),36984617615.0,33039958250.0,19644976782.0,19634080315.0
Nación,CSF,OTROS RECURSOS DEL TESORO,36,IGUALDAD Y EQUIDAD,46-01-01,MINISTERIO DE IGUALDAD Y EQUIDAD - GESTIÓN GENERAL,400000000000.0,146736000000.0,0.0,0.0
Nación,CSF,OTROS RECURSOS DEL TESORO,4,CULTURA,33-04-00,ARCHIVO GENERAL DE LA NACION,24372283741.0,16773496675.0,5795921816.0,2997151813.0
Nación,CSF,OTROS RECURSOS DEL TESORO,5,SALUD Y PROTECCION SOCIAL,19-01-01,MINISTERIO DE SALUD Y PROTECCION SOCIAL - GESTION GENERAL,998784000000.0,998784000000.0,998784000000.0,998784000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,6,AGRICULTURA Y DESARROLLO RURAL,17-01-01,MINAGRICULTURA - GESTIÓN GENERAL,36900600000.0,16900600000.0,0.0,0.0
Nación,CSF,OTROS RECURSOS DEL TESORO,7,MINAS Y ENERGIA,21-01-01,MINISTERIO DE MINAS Y ENERGIA - GESTION GENERAL,217707000000.0,126669000000.0,57261504143.0,57175124143.0
Nación,CSF,OTROS RECURSOS DEL TESORO,7,MINAS Y ENERGIA,21-03-00,SERVICIO GEOLOGICO COLOMBIANO,50239000000.0,27187749998.0,12396866217.0,12194147191.0
Nación,CSF,OTROS RECURSOS DEL TESORO,9,TRANSPORTE,24-01-01,MINISTERIO DE TRANSPORTE - GESTION GENERAL,127454000000.0,86826268928.0,39882989533.0,39655536084.0
Nación,CSF,OTROS RECURSOS DEL TESORO,9,TRANSPORTE,24-02-00,INSTITUTO NACIONAL DE VIAS,1484600000000.0,1268940000000.0,607896000000.0,607104000000.0
Nación,CSF,OTROS RECURSOS DEL TESORO,9,TRANSPORTE,24-13-00,AGENCIA NACIONAL DE INFRAESTRUCTURA,1427020000000.0,1427020000000.0,1427020000000.0,1427020000000.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,10,PLANEACION,3/1/2001,DEPARTAMENTO NACIONAL DE PLANEACION - GESTION GENERAL,57797910505.0,29825745335.0,11411440326.0,11018102296.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,11,INFORMACION ESTADISTICA,4/3/2000,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI - IGAC,94615319700.0,20046952324.0,2137630808.0,2137630808.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,16,"COMERCIO, INDUSTRIA Y TURISMO",35-01-01,MINCOMERCIO INDUSTRIA TURISMO - GESTION GENERAL,21150651769.0,21150651769.0,0.0,0.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,17,ORGANISMOS DE CONTROL,25-02-00,DEFENSORIA DEL PUEBLO,34650000000.0,26278416313.0,25066520893.0,25027920893.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,17,ORGANISMOS DE CONTROL,26-01-01,CONTRALORIA GENERAL DE LA REPUBLICA - GESTION GENERAL,43690583700.0,30442773626.0,7846704254.0,7846704254.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,2,EDUCACION,22-01-01,MINISTERIO EDUCACION NACIONAL - GESTION GENERAL,131528000000.0,56098393633.0,16275847623.0,16194027163.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,2,EDUCACION,22-46-00,UNIDAD ADMINISTRATIVA ESPECIAL DE ALIMENTACION ESCOLAR,2068323280.0,166504921.0,0.0,0.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,20,PRESIDENCIA DE LA REPUBLICA,2/1/2001,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,68906448000.0,7570533920.0,3959388348.0,3957122938.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,25,RAMA JUDICIAL,27-01-02,RAMA JUDICIAL - CONSEJO SUPERIOR DE LA JUDICATURA,190973000000.0,59261680182.0,16796886921.0,16752602921.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,27,JUSTICIA Y DEL DERECHO,12/1/2001,MINISTERIO DE JUSTICIA Y DEL DERECHO - GESTION GENERAL,10886133544.0,10876839283.0,2968365214.0,2968365214.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,27,JUSTICIA Y DEL DERECHO,12/4/2000,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,12000000000.0,5959182786.0,560320750.0,560320750.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,27,JUSTICIA Y DEL DERECHO,12/10/2000,UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO,13300293205.0,12107669138.0,4160757796.0,4160757796.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,29,TRABAJO,36-01-01,MINISTERIO DEL TRABAJO - GESTION GENERAL,27664631016.0,16332616248.0,4751569923.0,4733569923.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,33,"VIVIENDA, CIUDAD Y TERRITORIO",40-01-01,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO - GESTION GENERAL",136016000000.0,61675391606.0,3240167992.0,3234784854.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,33,"VIVIENDA, CIUDAD Y TERRITORIO",40-02-00,FONDO NACIONAL DE VIVIENDA - FONVIVIENDA,45013314828.0,40268777328.0,0.0,0.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,36,IGUALDAD Y EQUIDAD,46-02-00,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),67195950673.0,54140836184.0,16256493408.0,16252843408.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,5,SALUD Y PROTECCION SOCIAL,19-01-01,MINISTERIO DE SALUD Y PROTECCION SOCIAL - GESTION GENERAL,37483561476.0,37483561476.0,0.0,0.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,6,AGRICULTURA Y DESARROLLO RURAL,17-17-00,AGENCIA NACIONAL DE TIERRAS - ANT,51589000000.0,1720252683.0,534302332.0,534302332.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,7,MINAS Y ENERGIA,21-01-01,MINISTERIO DE MINAS Y ENERGIA - GESTION GENERAL,38027000000.0,0.0,0.0,0.0
Nación,CSF,PRESTAMOS DESTINACIÓN ESPECIFICA,9,TRANSPORTE,24-01-01,MINISTERIO DE TRANSPORTE - GESTION GENERAL,5000000000.0,4287786993.0,2305371370.0,2197976379.0
Nación,CSF,RECURSOS DEL CREDITO EXTERNO PREVIA AUTORIZACION,10,PLANEACION,3/1/2001,DEPARTAMENTO NACIONAL DE PLANEACION - GESTION GENERAL,8000000000.0,0.0,0.0,0.0
Nación,CSF,RECURSOS DEL CREDITO EXTERNO PREVIA AUTORIZACION,2,EDUCACION,22-01-01,MINISTERIO EDUCACION NACIONAL - GESTION GENERAL,164722000000.0,0.0,0.0,0.0
Nación,CSF,RECURSOS DEL CREDITO EXTERNO PREVIA AUTORIZACION,21,SERVICIO DE LA DEUDA PUBLICA NACIONAL,14-01-00,SERVICIO DE LA DEUDA PÚBLICA NACIONAL,26032000000000.0,21220900000000.0,21193600000000.0,21105900000000.0
Nación,CSF,RECURSOS DEL CREDITO EXTERNO PREVIA AUTORIZACION,33,"VIVIENDA, CIUDAD Y TERRITORIO",40-01-01,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO - GESTION GENERAL",4300000000.0,80000000.0,80000000.0,80000000.0
Nación,CSF,RECURSOS DEL CREDITO EXTERNO PREVIA AUTORIZACION,5,SALUD Y PROTECCION SOCIAL,19-01-01,MINISTERIO DE SALUD Y PROTECCION SOCIAL - GESTION GENERAL,132083000000.0,0.0,0.0,0.0
Nación,CSF,RECURSOS CORRIENTES,10,PLANEACION,3/1/2001,DEPARTAMENTO NACIONAL DE PLANEACION - GESTION GENERAL,870940000000.0,667037000000.0,256746000000.0,256382000000.0
Nación,CSF,RECURSOS CORRIENTES,10,PLANEACION,3/3/2000,UNIDAD ADMINISTRATIVA ESPECIAL - AGENCIA NACIONAL DE CONTRATACION PUBLICA - COLOMBIA COMPRA EFICIENTE,25631400000.0,19523574052.0,17404101272.0,17404101272.0
Nación,CSF,RECURSOS CORRIENTES,10,PLANEACION,3/24/2000,SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS,120903000000.0,56639645910.0,56639645910.0,56639645910.0
Nación,CSF,RECURSOS CORRIENTES,11,INFORMACION ESTADISTICA,4/1/2001,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE) - GESTIÓN GENERAL,623968000000.0,425138000000.0,233001000000.0,232980000000.0
Nación,CSF,RECURSOS CORRIENTES,11,INFORMACION ESTADISTICA,4/3/2000,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI - IGAC,102401000000.0,75243843324.0,69132956925.0,69065146715.0
Nación,CSF,RECURSOS CORRIENTES,12,RELACIONES EXTERIORES,11/1/2001,MINIRELACIONES EXTERIORES - GESTIÓN GENERAL,702102000000.0,416256000000.0,406366000000.0,406191000000.0
Nación,CSF,RECURSOS CORRIENTES,12,RELACIONES EXTERIORES,11/2/2000,FONDO ROTATORIO DEL MINISTERIO DE RELACIONES EXTERIORES,470548000000.0,333255000000.0,246709000000.0,246709000000.0
Nación,CSF,RECURSOS CORRIENTES,12,RELACIONES EXTERIORES,11/4/2000,UNIDAD ADMINISTRATIVA ESPECIAL MIGRACIÓN COLOMBIA,179128000000.0,126726000000.0,114693000000.0,114565000000.0
Nación,CSF,RECURSOS CORRIENTES,13,HACIENDA,13-01-01,MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO - GESTIÓN GENERAL,24403700000000.0,10217200000000.0,8755550000000.0,8755550000000.0
Nación,CSF,RECURSOS CORRIENTES,13,HACIENDA,13-01-17,"UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS, RENTAS Y CONTRIBUCIONES PARAFISCALES (ITRC)",25124868452.0,18286628177.0,16437701845.0,16406645765.0
Nación,CSF,RECURSOS CORRIENTES,13,HACIENDA,13-01-18,UNIDAD ADMINISTRATIVA ESPECIAL UNIDAD DE PROYECCIÓN NORMATIVA Y ESTUDIOS DE REGULACIÓN FINANCIERA (URF),7447000000.0,5822321878.0,5724000771.0,5722678260.0
